UE0 Posicion: (-17073,-7961.28)
UE1 Posicion: (45816,-22346)
UE2 Posicion: (-17030,-42150.7)
UE3 Posicion: (2649.95,-5433.21)
UE4 Posicion: (-6255.5,11285.2)
UE5 Posicion: (-3872.31,-11246)
UE6 Posicion: (22819.3,37977.7)
UE7 Posicion: (18582.3,-16731.6)
UE8 Posicion: (26817.7,-8198.98)
UE9 Posicion: (8487.7,29600.1)
UE10 Posicion: (27759.5,3408.44)
UE11 Posicion: (-8132.84,426.224)
UE12 Posicion: (4892.25,-2281.29)
UE13 Posicion: (-3112.16,-6674.05)
UE14 Posicion: (-21671.5,-17549.2)
UE15 Posicion: (2959.31,-28155.9)
UE16 Posicion: (-47398.8,-23117.9)
UE17 Posicion: (-12368.6,7141)
UE18 Posicion: (18419.6,-56689.6)
UE19 Posicion: (-18884.5,10903)
UE20 Posicion: (-9038.56,-7584.25)
UE21 Posicion: (-15096.3,-1320.76)
UE22 Posicion: (7127.1,36665.7)
UE23 Posicion: (-9012.61,-9664.84)
UE24 Posicion: (-38403.8,-20419.7)
UE25 Posicion: (-37716.9,3299.8)
UE26 Posicion: (-40802.6,16485.3)
UE27 Posicion: (41567.1,-29105.6)
UE28 Posicion: (-3165.76,1978.19)
UE29 Posicion: (7911.19,9769.5)
UE30 Posicion: (4926.59,35054.5)
UE31 Posicion: (20774.5,23072.4)
UE32 Posicion: (6.55496e-05,36520)
UE33 Posicion: (-11457.4,15204.4)
UE34 Posicion: (10163.1,-40762.1)
UE35 Posicion: (18860.2,16394.9)
UE36 Posicion: (22311.8,45745.9)
UE37 Posicion: (1975.83,1717.56)
UE38 Posicion: (-23043.7,51756.9)
UE39 Posicion: (-46319.8,-1617.52)
UE40 Posicion: (-31344.9,-18097)
UE41 Posicion: (8455.56,-39780.3)
UE42 Posicion: (-2437.18,46504.2)
UE43 Posicion: (44781.1,10338.5)
UE44 Posicion: (25566.8,-14761)
UE45 Posicion: (34365.9,-4219.6)
UE46 Posicion: (13512.4,8119.06)
UE47 Posicion: (3988.33,45586.9)
UE48 Posicion: (-14087.8,-23446.1)
UE49 Posicion: (-2013.35,4317.65)
UE50 Posicion: (-12928.9,-17795.1)
UE51 Posicion: (9554.42,12679.1)
UE52 Posicion: (-2561.79,-9560.73)
UE53 Posicion: (-17398.2,-1828.62)
UE54 Posicion: (-6278.13,-8641.11)
UE55 Posicion: (15375.9,57383.7)
UE56 Posicion: (-21597.4,-34563)
UE57 Posicion: (35134.8,-25526.9)
UE58 Posicion: (11279.9,-2192.59)
UE59 Posicion: (2643.35,30213.6)
UE60 Posicion: (223.527,-4265.15)
UE61 Posicion: (-25705.6,52704.4)
UE62 Posicion: (-23488.5,40683.3)
UE63 Posicion: (36171.1,32568.6)
UE64 Posicion: (-23520.7,9983.96)
UE65 Posicion: (-1270.27,-36375.8)
UE66 Posicion: (-23065,-2424.22)
UE67 Posicion: (-408.888,-165.202)
UE68 Posicion: (13776.8,-45062)
UE69 Posicion: (-50793,-12664.1)
UE70 Posicion: (27537.8,20751.2)
UE71 Posicion: (-26939.2,50665.3)
UE72 Posicion: (8036.58,1562.15)
UE73 Posicion: (18626.7,-3284.38)
UE74 Posicion: (-44748.7,12831.5)
UE75 Posicion: (5872.42,12040.2)
UE76 Posicion: (27219.4,13869)
UE77 Posicion: (47183.2,-1647.68)
UE78 Posicion: (-5241.92,7486.23)
UE79 Posicion: (-14507.6,-42133.3)
UE80 Posicion: (1847.27,5364.87)
UE81 Posicion: (-22117.2,-2324.61)
UE82 Posicion: (-12968.5,22462.1)
UE83 Posicion: (-12566.9,-7550.97)
UE84 Posicion: (17359,-50414.1)
UE85 Posicion: (40863.3,-43820.5)
UE86 Posicion: (18087.1,30102)
UE87 Posicion: (18730.3,-5018.76)
UE88 Posicion: (-8573.11,-37134.2)
UE89 Posicion: (21423.9,-32989.9)
UE90 Posicion: (9738.08,-39057.3)
UE91 Posicion: (-21908.1,46982.1)
UE92 Posicion: (19288.4,-50248.1)
UE93 Posicion: (-38045.1,-15371.2)
UE94 Posicion: (46097.3,22483.2)
UE95 Posicion: (4588.87,37373.3)
UE96 Posicion: (-10411.1,-34053.1)
UE97 Posicion: (-341.184,2154.15)
UE98 Posicion: (16775.8,15105)
UE99 Posicion: (-26379.4,7068.35)
