Tiempo simulación: 10
IMSI 1 measured RSRP dbm:-132.288dbm
IMSI 1 NRSRP reported value:24
IMSI 1 CE level is: 0
IMSI 3 measured RSRP dbm:-132.288dbm
IMSI 3 NRSRP reported value:24
IMSI 3 CE level is: 0
IMSI 4 measured RSRP dbm:-132.288dbm
IMSI 4 NRSRP reported value:24
IMSI 4 CE level is: 0
IMSI 6 measured RSRP dbm:-132.288dbm
IMSI 6 NRSRP reported value:24
IMSI 6 CE level is: 0
IMSI 7 measured RSRP dbm:-132.288dbm
IMSI 7 NRSRP reported value:24
IMSI 7 CE level is: 0
IMSI 8 measured RSRP dbm:-132.288dbm
IMSI 8 NRSRP reported value:24
IMSI 8 CE level is: 0
IMSI 9 measured RSRP dbm:-132.288dbm
IMSI 9 NRSRP reported value:24
IMSI 9 CE level is: 0
IMSI 13 measured RSRP dbm:-132.288dbm
IMSI 13 NRSRP reported value:24
IMSI 13 CE level is: 0
IMSI 17 measured RSRP dbm:-132.288dbm
IMSI 17 NRSRP reported value:24
IMSI 17 CE level is: 0
IMSI 21 measured RSRP dbm:-132.288dbm
IMSI 21 NRSRP reported value:24
IMSI 21 CE level is: 0
IMSI 22 measured RSRP dbm:-132.288dbm
IMSI 22 NRSRP reported value:24
IMSI 22 CE level is: 0
IMSI 23 measured RSRP dbm:-132.288dbm
IMSI 23 NRSRP reported value:24
IMSI 23 CE level is: 0
IMSI 29 measured RSRP dbm:-132.288dbm
IMSI 29 NRSRP reported value:24
IMSI 29 CE level is: 0
IMSI 30 measured RSRP dbm:-132.288dbm
IMSI 30 NRSRP reported value:24
IMSI 30 CE level is: 0
IMSI 34 measured RSRP dbm:-132.288dbm
IMSI 34 NRSRP reported value:24
IMSI 34 CE level is: 0
IMSI 35 measured RSRP dbm:-132.288dbm
IMSI 35 NRSRP reported value:24
IMSI 35 CE level is: 0
IMSI 37 measured RSRP dbm:-132.288dbm
IMSI 37 NRSRP reported value:24
IMSI 37 CE level is: 0
IMSI 38 measured RSRP dbm:-132.288dbm
IMSI 38 NRSRP reported value:24
IMSI 38 CE level is: 0
IMSI 41 measured RSRP dbm:-132.288dbm
IMSI 41 NRSRP reported value:24
IMSI 41 CE level is: 0
IMSI 42 measured RSRP dbm:-132.288dbm
IMSI 42 NRSRP reported value:24
IMSI 42 CE level is: 0
IMSI 45 measured RSRP dbm:-132.288dbm
IMSI 45 NRSRP reported value:24
IMSI 45 CE level is: 0
IMSI 46 measured RSRP dbm:-132.288dbm
IMSI 46 NRSRP reported value:24
IMSI 46 CE level is: 0
IMSI 47 measured RSRP dbm:-132.288dbm
IMSI 47 NRSRP reported value:24
IMSI 47 CE level is: 0
IMSI 48 measured RSRP dbm:-132.288dbm
IMSI 48 NRSRP reported value:24
IMSI 48 CE level is: 0
IMSI 53 measured RSRP dbm:-132.288dbm
IMSI 53 NRSRP reported value:24
IMSI 53 CE level is: 0
IMSI 57 measured RSRP dbm:-132.288dbm
IMSI 57 NRSRP reported value:24
IMSI 57 CE level is: 0
IMSI 58 measured RSRP dbm:-132.288dbm
IMSI 58 NRSRP reported value:24
IMSI 58 CE level is: 0
IMSI 59 measured RSRP dbm:-132.288dbm
IMSI 59 NRSRP reported value:24
IMSI 59 CE level is: 0
IMSI 60 measured RSRP dbm:-132.288dbm
IMSI 60 NRSRP reported value:24
IMSI 60 CE level is: 0
IMSI 2 measured RSRP dbm:-132.288dbm
IMSI 2 NRSRP reported value:24
IMSI 2 CE level is: 0
IMSI 5 measured RSRP dbm:-132.288dbm
IMSI 5 NRSRP reported value:24
IMSI 5 CE level is: 0
IMSI 10 measured RSRP dbm:-132.288dbm
IMSI 10 NRSRP reported value:24
IMSI 10 CE level is: 0
IMSI 11 measured RSRP dbm:-132.288dbm
IMSI 11 NRSRP reported value:24
IMSI 11 CE level is: 0
IMSI 12 measured RSRP dbm:-132.288dbm
IMSI 12 NRSRP reported value:24
IMSI 12 CE level is: 0
IMSI 18 measured RSRP dbm:-132.288dbm
IMSI 18 NRSRP reported value:24
IMSI 18 CE level is: 0
IMSI 19 measured RSRP dbm:-132.288dbm
IMSI 19 NRSRP reported value:24
IMSI 19 CE level is: 0
IMSI 24 measured RSRP dbm:-132.288dbm
IMSI 24 NRSRP reported value:24
IMSI 24 CE level is: 0
IMSI 25 measured RSRP dbm:-132.288dbm
IMSI 25 NRSRP reported value:24
IMSI 25 CE level is: 0
IMSI 26 measured RSRP dbm:-132.288dbm
IMSI 26 NRSRP reported value:24
IMSI 26 CE level is: 0
IMSI 27 measured RSRP dbm:-132.288dbm
IMSI 27 NRSRP reported value:24
IMSI 27 CE level is: 0
IMSI 28 measured RSRP dbm:-132.288dbm
IMSI 28 NRSRP reported value:24
IMSI 28 CE level is: 0
IMSI 31 measured RSRP dbm:-132.288dbm
IMSI 31 NRSRP reported value:24
IMSI 31 CE level is: 0
IMSI 36 measured RSRP dbm:-132.288dbm
IMSI 36 NRSRP reported value:24
IMSI 36 CE level is: 0
